,,,,,,Scoring,Scoring,Scoring,,,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
351,Jansen Harkins\harkija01,24,WPG,C,65,7,3,10,-9,11,0.3,7,0,0,0,3,0,0,58,12.1,626,9:38,14,47,21,11,65.6
352,Thomas Harley\harleth01,20,DAL,D,24,0,2,2,-6,4,0.2,0,0,0,0,2,0,0,23,0,322,13:25,22,24,0,0,
353,Ben Harpur\harpube01,27,NSH,D,19,0,1,1,-10,27,-0.4,0,0,0,0,1,0,0,13,0,261,13:44,21,36,0,0,
354,Scott Harrington\harrisc01,28,CBJ,D,7,0,1,1,-4,6,-0.1,0,0,0,0,1,0,0,5,0,101,14:28,9,8,0,0,
355,Ryan Hartman\hartmry01,27,MIN,RW,63,26,22,48,26,65,5.7,25,1,0,6,18,4,0,192,13.5,1155,18:20,36,58,386,491,44
356,Rafaâl Harvey-Pinard\harvera01,23,MTL,LW,3,1,0,1,-2,0,0.1,1,0,0,0,0,0,0,4,25,41,13:36,3,9,0,1,0
357,Santeri Hatakka\hataksa01,21,SJS,D,8,0,2,2,-3,2,0.1,0,0,0,0,2,0,0,2,0,102,12:45,5,4,0,0,
358,Garnet Hathaway\hathaga01,30,WSH,RW,62,10,11,21,18,51,2.3,10,0,0,3,10,0,1,103,9.7,850,13:43,45,205,9,18,33.3
359,Erik Haula\haulaer01,30,BOS,LW,62,9,23,32,10,37,3,8,1,0,1,21,2,0,108,8.3,917,14:47,31,106,312,299,51.1
360,John Hayden\haydejo01,26,BUF,C,52,2,2,4,-11,82,-0.7,2,0,0,0,2,0,0,59,3.4,576,11:04,24,95,2,7,22.2
361,Kevin Hayes\hayeske01,29,PHI,RW,31,7,14,21,-6,16,1.7,5,2,0,1,12,1,1,65,10.8,524,16:55,10,25,162,209,43.7
362,Zack Hayes\hayesza01,22,VEG,D,3,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,1,0,33,10:53,1,12,0,0,
363,Barrett Hayton\haytoba01,21,ARI,C,42,6,10,16,-2,12,0.9,5,1,0,1,8,2,0,46,13,653,15:33,25,59,295,306,49.1
364,Dillon Heatherington\heathdi01,26,OTT,D,9,0,0,0,-1,7,0.1,0,0,0,0,0,0,0,4,0,111,12:20,2,18,0,0,
365,Victor Hedman\hedmavi01,31,TBL,D,64,17,45,62,13,30,10,13,4,0,6,24,21,0,162,10.5,1622,25:20:00,98,76,0,0,
366,Danton Heinen\heineda01,26,PIT,C,60,13,12,25,5,14,2.6,11,2,0,1,11,1,0,109,11.9,801,13:21,26,61,0,3,0
367,Ville Heinola\heinovi01,20,WPG,D,8,0,2,2,-4,6,0,0,0,0,0,2,0,0,19,0,107,13:23,4,5,0,0,
368,Miro Heiskanen\heiskmi01,22,DAL,D,52,4,25,29,1,20,4.9,2,2,0,1,19,6,0,116,3.4,1288,24:46:00,72,39,0,0,
